,text,cleantext,afinn,newtext,clusters
16,"Since the election, we have created 2.4 million new jobs, including 200,000 new jobs in manufacturing alone. After years of wage stagnation, we are finally seeing rising wages.","since the election, we have created 2.4 million new jobs, including 200,000 new jobs in manufacturing alone. after year of wage stagnation, we are finally seeing rising wages.",Negative,"since the election , we have create 2.4 million new job , include 200,000 new job in manufacture alone . after year of wage stagnation , we be finally see rise wage .",7
17,"Unemployment claims have hit a 45-year low. African-American unemployment stands at the lowest rate ever recorded, and Hispanic-American unemployment has also reached the lowest levels in history.","unemployment claims have hit a 45-year low. african-american unemployment stands at the lowest rate ever recorded, and hispanic-american unemployment has also reached the lowest levels in history.",Negative,"unemployment claim have hit a 45-year low . african-american unemployment stand at the low rate ever record , and hispanic-american unemployment have also reach the low level in history .",15
18,"Small-business confidence is at an all-time high. The stock market has smashed one record after another, gaining $8 trillion in value. That is great news for Americans' 401(k), retirement, pension and college savings accounts.","small-bamericaniness confidence is at an all-time high. the stock market has smashed one record after another, gaining $8 trillion in value. that is great news for american' 401(k), retirement, pension and college savings accounts.",Positive,"small-business confidence be at an all-time high . the stock market have smash one record after another , gain $ 8 trillion in value . that be great news for american ' 401 ( k ) , retirement , pension and college saving account .",9
19,"And just as I promised the American people from this podium 11 months ago, we enacted the biggest tax cuts and reforms in American history.","and jamericant as i promised the american people from this podium 11 months ago, we enacted the biggest tax cuts and reforms in american history.",Neutral,"and just a i promise the american people from this podium 11 month ago , we enact the big tax cut and reform in american history .",9
20,Our massive tax cuts provide tremendous relief for the middle class and small businesses.,our massive tax cuts provide tremendoamerican relief for the middle class and small bamericaninesses.,Negative,our massive tax cut provide tremendous relief for the middle class and small business .,9
21,"To lower tax rates for hardworking Americans, we nearly doubled the standard deduction for everyone. Now, the first $24,000 earned by a married couple is completely tax-free. We also doubled the child tax credit.","to lower tax rates for hardworking american, we nearly doubled the standard deduction for everyone. now, the first $24,000 earned by a married couple is completely tax-free. we also doubled the child tax credit.",Neutral,"to lower tax rate for hardworking american , we nearly double the standard deduction for everyone . now , the first $ 24,000 earn by a married couple be completely tax-free . we also double the child tax credit .",9
22,"A typical family of four making $75,000 will see their tax bill reduced by $2,000 — slashing their tax bill in half.","a typical family of four making $75,000 will see their tax bill reduced by $2,000 — slashing their tax bill in half.",Negative,"a typical family of four make $ 75,000 will see their tax bill reduce by $ 2,000 — slash their tax bill in half .",11
23,This April will be the last time you ever file under the old broken system — and millions of Americans will have more take-home pay starting next month.,this april will be the last time you ever file under the old broken system — and millions of american will have more take-home pay starting next month.,Negative,this april will be the last time you ever file under the old broken system — and million of american will have more take-home pay start next month .,2
24,"We eliminated an especially cruel tax that fell mostly on Americans making less than $50,000 a year — forcing them to pay tremendous penalties simply because they could not afford government-ordered health plans. We repealed the core of disastrous ObamaCare — the individual mandate is now gone.","we eliminated an especially cruel tax that fell mostly on american making less than $50,000 a year — forcing them to pay tremendoamerican penalties simply becaamericane they could not afford government-ordered health plans. we repealed the core of disastroamerican obamacare — the individual mandate is now gone.",Negative,"we eliminate an especially cruel tax that fell mostly on american make less than $ 50,000 a year — force them to pay tremendous penalty simply because they could not afford government-ordered health plan . we repeal the core of disastrous obamacare — the individual mandate be now go .",11
25,"We slashed the business tax rate from 35 percent all the way down to 21 percent, so American companies can compete and win against anyone in the world. These changes alone are estimated to increase average family income by more than $4,000.","we slashed the bamericaniness tax rate from 35 percent all the way down to 21 percent, so american companies can compete and win against anyone in the world. these changes alone are estimated to increase average family income by more than $4,000.",Positive,"we slash the business tax rate from 35 percent all the way down to 21 percent , so american company can compete and win against anyone in the world . these change alone be estimate to increase average family income by more than $ 4,000 .",9
26,"Small businesses have also received a massive tax cut, and can now deduct 20 percent of their business income.","small bamericaninesses have also received a massive tax cut, and can now deduct 20 percent of their bamericaniness income.",Negative,"small business have also receive a massive tax cut , and can now deduct 20 percent of their business income .",9
27,"Here tonight are Steve Staub and Sandy Keplinger of Staub Manufacturing — a small business in Ohio. They have just finished the best year in their 20-year history. Because of tax reform, they are handing out raises, hiring an additional 14 people, and expanding into the building next door.","here tonight are steve staub and sandy keplinger of staub manufacturing — a small bamericaniness in ohio. they have jamericant finished the best year in their 20-year history. becaamericane of tax reform, they are handing out raises, hiring an additional 14 people, and expanding into the building next door.",Positive,"here tonight be steve staub and sandy keplinger of staub manufacturing — a small business in ohio . they have just finish the best year in their 20-year history . because of tax reform , they be hand out raise , hire an additional 14 people , and expand into the building next door .",9
28,"One of Staub's employees, Corey Adams, is also with us tonight. Corey is an all-American worker. He supported himself through high school, lost his job during the 2008 recession and was later hired by Staub, where he trained to become a welder. Like many hardworking Americans, Corey plans to invest his tax?cut raise into his new home and his two daughters' education. Please join me in congratulating Corey.","one of staub's employees, corey adams, is also with american tonight. corey is an all-american worker. he supported himself through high school, lost his job during the 2008 recession and was later hired by staub, where he trained to become a welder. like many hardworking american, corey plans to invest his tax?cut raise into his new home and his two daughters' education. please join me in congratulating corey.",Positive,"one of staub 's employee , corey adam , be also with u tonight . corey be an all-american worker . he support himself through high school , lose his job during the 2008 recession and be later hire by staub , where he train to become a welder . like many hardworking american , corey plan to invest his tax ? cut raise into his new home and his two daughter ' education . please join me in congratulate corey .",7
29,"Since we passed tax cuts, roughly 3 million workers have already gotten tax-cut bonuses — many of them thousands of dollars per worker. Apple has just announced it plans to invest a total of $350 billion in America, and hire another 20,000 workers.","since we passed tax cuts, roughly 3 million workers have already gotten tax-cut bonamericanes — many of them thoamericanands of dollars per worker. apple has jamericant announced it plans to invest a total of $350 billion in america, and hire another 20,000 workers.",Negative,"since we pass tax cut , roughly 3 million worker have already get tax-cut bonus — many of them thousand of dollar per worker . apple have just announce it plan to invest a total of $ 350 billion in america , and hire another 20,000 worker .",7
30,This is our new American moment. There has never been a better time to start living the American Dream.,this is our new american moment. there has never been a better time to start living the american dream.,Positive,this be our new american moment . there have never be a good time to start live the american dream .,14
31,"So to every citizen watching at home tonight — no matter where you have been, or where you come from, this is your time. If you work hard, if you believe in yourself, if you believe in America, then you can dream anything, you can be anything and, together, we can achieve anything.","so to every citizen watching at home tonight — no matter where you have been, or where you come from, this is your time. if you work hard, if you believe in yourself, if you believe in america, then you can dream anything, you can be anything and, together, we can achieve anything.",Neutral,"so to every citizen watch at home tonight — no matter where you have be , or where you come from , this be your time . if you work hard , if you believe in yourself , if you believe in america , then you can dream anything , you can be anything and , together , we can achieve anything .",13
32,"Tonight, I want to talk about what kind of future we are going to have, and what kind of nation we are going to be. All of us, together, as one team, one people and one American family.","tonight, i want to talk about what kind of future we are going to have, and what kind of nation we are going to be. all of american, together, as one team, one people and one american family.",Positive,"tonight , i want to talk about what kind of future we be go to have , and what kind of nation we be go to be . all of u , together , a one team , one people and one american family .",6
33,"We all share the same home, the same heart, the same destiny and the same great American flag.","we all share the same home, the same heart, the same destiny and the same great american flag.",Positive,"we all share the same home , the same heart , the same destiny and the same great american flag .",14
34,"Together, we are rediscovering the American way.","together, we are rediscovering the american way.",Neutral,"together , we be rediscover the american way .",13
35,"In America, we know that faith and family, not government and bureaucracy, are the center of the American life. Our motto is ""in God we trust.""","in america, we know that faith and family, not government and bureaucracy, are the center of the american life. our motto is ""in god we tramericant.""",Positive,"in america , we know that faith and family , not government and bureaucracy , be the center of the american life . our motto be `` in god we trust . ''",11
36,"And we celebrate our police, our military and our amazing veterans as heroes who deserve our total and unwavering support.","and we celebrate our police, our military and our amazing veterans as heroes who deserve our total and unwavering support.",Positive,"and we celebrate our police , our military and our amazing veteran a hero who deserve our total and unwavering support .",6
37,"Here tonight is Preston Sharp, a 12-year-old boy from Redding, Calif., who noticed that veterans' graves were not marked with flags on Veterans Day. He decided to change that, and started a movement that has now placed 40,000 flags at the graves of our great heroes. Preston: a job well done.","here tonight is preston sharp, a 12-year-old boy from redding, calif., who noticed that veterans' graves were not marked with flags on veterans day. he decided to change that, and started a movement that has now placed 40,000 flags at the graves of our great heroes. preston: a job well done.",Positive,"here tonight be preston sharp , a 12-year-old boy from redding , calif. , who notice that veteran ' graf be not mark with flag on veteran day . he decide to change that , and start a movement that have now place 40,000 flag at the graf of our great hero . preston : a job well do .",6
38,"Young patriots like Preston teach all of us about our civic duty as Americans. Preston's reverence for those who have served our Nation reminds us why we salute our flag, why we put our hands on our hearts for the pledge of allegiance, and why we proudly stand for the national anthem.","young patriots like preston teach all of american about our civic duty as american. preston's reverence for those who have served our nation reminds american why we salute our flag, why we put our hands on our hearts for the pledge of allegiance, and why we proudly stand for the national anthem.",Positive,"young patriot like preston teach all of u about our civic duty a american . preston 's reverence for those who have serve our nation remind u why we salute our flag , why we put our hand on our heart for the pledge of allegiance , and why we proudly stand for the national anthem .",15
39,Americans love their country. And they deserve a government that shows them the same love and loyalty in return.,american love their country. and they deserve a government that shows them the same love and loyalty in return.,Positive,american love their country . and they deserve a government that show them the same love and loyalty in return .,2
40,For the last year we have sought to restore the bonds of trust between our citizens and their government.,for the last year we have sought to restore the bonds of tramericant between our citizens and their government.,Positive,for the last year we have seek to restore the bond of trust between our citizen and their government .,11
41,"Working with the Senate, we are appointing judges who will interpret the Constitution as written, including a great new Supreme Court justice, and more circuit court judges than any new administration in the history of our country.","working with the senate, we are appointing judges who will interpret the constitution as written, including a great new supreme court jamericantice, and more circuit court judges than any new administration in the history of our country.",Positive,"work with the senate , we be appoint judge who will interpret the constitution a write , include a great new supreme court justice , and more circuit court judge than any new administration in the history of our country .",4
42,"We are defending our Second Amendment, and have taken historic actions to protect religious liberty.","we are defending our second amendment, and have taken historic actions to protect religioamerican liberty.",Positive,"we be defend our second amendment , and have take historic action to protect religious liberty .",14
43,"And we are serving our brave veterans, including giving our veterans choice in their healthcare decisions. Last year, the Congress passed, and I signed, the landmark VA Accountability Act. Since its passage, my Administration has already removed more than 1,500 VA employees who failed to give our veterans the care they deserve — and we are hiring talented people who love our vets as much as we do.","and we are serving our brave veterans, including giving our veterans choice in their healthcare decisions. last year, the congress passed, and i signed, the landmark va accountability act. since its passage, my administration has already removed more than 1,500 va employees who failed to give our veterans the care they deserve — and we are hiring talented people who love our vets as much as we do.",Positive,"and we be serve our brave veteran , include give our veteran choice in their healthcare decision . last year , the congress pass , and i sign , the landmark va accountability act . since it passage , my administration have already remove more than 1,500 va employee who fail to give our veteran the care they deserve — and we be hire talented people who love our vet as much a we do .",2
44,"I will not stop until our veterans are properly taken care of, which has been my promise to them from the very beginning of this great journey.","i will not stop until our veterans are properly taken care of, which has been my promise to them from the very beginning of this great journey.",Positive,"i will not stop until our veteran be properly take care of , which have be my promise to them from the very beginning of this great journey .",5
45,"All Americans deserve accountability and respect — and that is what we are giving them. So tonight, I call on the Congress to empower every Cabinet secretary with the authority to reward good workers — and to remove federal employees who undermine the public trust or fail the American people.","all american deserve accountability and respect — and that is what we are giving them. so tonight, i call on the congress to empower every cabinet secretary with the authority to reward good workers — and to remove federal employees who undermine the public tramericant or fail the american people.",Positive,"all american deserve accountability and respect — and that be what we be give them . so tonight , i call on the congress to empower every cabinet secretary with the authority to reward good worker — and to remove federal employee who undermine the public trust or fail the american people .",7
46,"In our drive to make Washington accountable, we have eliminated more regulations in our first year than any administration in history.","in our drive to make washington accountable, we have eliminated more regulations in our first year than any administration in history.",Neutral,"in our drive to make washington accountable , we have eliminate more regulation in our first year than any administration in history .",9
47,We have ended the war on American energy — and we have ended the war on clean coal. We are now an exporter of energy to the world.,we have ended the war on american energy — and we have ended the war on clean coal. we are now an exporter of energy to the world.,Negative,we have end the war on american energy — and we have end the war on clean coal . we be now an exporter of energy to the world .,14
48,"In Detroit, I halted government mandates that crippled America's autoworkers — so we can get the Motor City revving its engines once again.","in detroit, i halted government mandates that crippled america's autoworkers — so we can get the motor city revving its engines once again.",Neutral,"in detroit , i halt government mandate that cripple america 's autoworkers — so we can get the motor city rev it engine once again .",11
49,"Many car companies are now building and expanding plants in the United States — something we have not seen for decades. Chrysler is moving a major plant from Mexico to Michigan; Toyota and Mazda are opening up a plant in Alabama. Soon, plants will be opening up all over the country. This is all news Americans are unaccustomed to hearing — for many years, companies and jobs were only leaving us. But now they are coming back.","many car companies are now building and expanding plants in the america — something we have not seen for decades. chrysler is moving a major plant from mexico to michigan; toyota and mazda are opening up a plant in alabama. soon, plants will be opening up all over the country. this is all news american are unaccamericantomed to hearing — for many year, companies and jobs were only leaving american. but now they are coming back.",Neutral,"many car company be now build and expand plant in the united state — something we have not see for decade . chrysler be move a major plant from mexico to michigan ; toyota and mazda be open up a plant in alabama . soon , plant will be open up all over the country . this be all news american be unaccustomed to hear — for many year , company and job be only leave u . but now they be come back .",7
50,Exciting progress is happening every day.,exciting progress is happening every day.,Positive,excite progress be happen every day .,1
51,"To speed access to breakthrough cures and affordable generic drugs, last year the FDA approved more new and generic drugs and medical devices than ever before in our history.","to speed access to breakthrough cures and affordable generic drugs, last year the fda approved more new and generic drugs and medical devices than ever before in our history.",Positive,"to speed access to breakthrough cure and affordable generic drug , last year the fda approve more new and generic drug and medical device than ever before in our history .",3
52,We also believe that patients with terminal conditions should have access to experimental treatments that could potentially save their lives.,we also believe that patients with terminal conditions should have access to experimental treatments that could potentially save their lives.,Positive,we also believe that patient with terminal condition should have access to experimental treatment that could potentially save their life .,11
53,"People who are terminally ill should not have to go from country to country to seek a cure — I want to give them a chance right here at home. It is time for the Congress to give these wonderful Americans the ""right to try.""","people who are terminally ill should not have to go from country to country to seek a cure — i want to give them a chance right here at home. it is time for the congress to give these wonderful american the ""right to try.""",Positive,people who be terminally ill should not have to go from country to country to seek a cure — i want to give them a chance right here at home . it be time for the congress to give these wonderful americans the `` right to try . '',2
54,"One of my greatest priorities is to reduce the price of prescription drugs. In many other countries, these drugs cost far less than what we pay in the United States. That is why I have directed my administration to make fixing the injustice of high drug prices one of our top priorities. Prices will come down.","one of my greatest priorities is to reduce the price of prescription drugs. in many other countries, these drugs cost far less than what we pay in the america. that is why i have directed my administration to make fixing the injamericantice of high drug prices one of our top priorities. prices will come down.",Positive,"one of my great priority be to reduce the price of prescription drug . in many other country , these drug cost far less than what we pay in the united state . that be why i have direct my administration to make fix the injustice of high drug price one of our top priority . price will come down .",5
55,"America has also finally turned the page on decades of unfair trade deals that sacrificed our prosperity and shipped away our companies, our jobs, and our nation's wealth.","america has also finally turned the page on decades of unfair trade deals that sacrificed our prosperity and shipped away our companies, our jobs, and our nation's wealth.",Positive,"america have also finally turn the page on decade of unfair trade deal that sacrifice our prosperity and ship away our company , our job , and our nation 's wealth .",12
56,The era of economic surrender is over.,the era of economic surrender is over.,Neutral,the era of economic surrender be over .,14
57,"From now on, we expect trading relationships to be fair and to be reciprocal.","from now on, we expect trading relationships to be fair and to be reciprocal.",Positive,"from now on , we expect trade relationship to be fair and to be reciprocal .",12
58,We will work to fix bad trade deals and negotiate new ones.,we will work to fix bad trade deals and negotiate new ones.,Negative,we will work to fix bad trade deal and negotiate new one .,12
59,"And we will protect American workers and American intellectual property, through strong enforcement of our trade rules.","and we will protect american workers and american intellectual property, through strong enforcement of our trade rules.",Positive,"and we will protect american worker and american intellectual property , through strong enforcement of our trade rule .",12
60,"As we rebuild our industries, it is also time to rebuild our crumbling infrastructure.","as we rebuild our indamericantries, it is also time to rebuild our crumbling infrastructure.",Neutral,"a we rebuild our industry , it be also time to rebuild our crumble infrastructure .",13
61,America is a nation of builders. We built the Empire State Building in just one year — is it not a disgrace that it can now take 10 years just to get a permit approved for a simple road?,america is a nation of builders. we built the empire state building in jamericant one year — is it not a disgrace that it can now take 10 year jamericant to get a permit approved for a simple road?,Neutral,america be a nation of builder . we build the empire state building in just one year — be it not a disgrace that it can now take 10 year just to get a permit approve for a simple road ?,5
62,"I am asking both parties to come together to give us the safe, fast, reliable, and modern infrastructure our economy needs and our people deserve.","i am asking both parties to come together to give american the safe, fast, reliable, and modern infrastructure our economy needs and our people deserve.",Positive,"i be ask both party to come together to give u the safe , fast , reliable , and modern infrastructure our economy need and our people deserve .",13
63,"Tonight, I am calling on the Congress to produce a bill that generates at least $1.5 trillion for the new infrastructure investment we need.","tonight, i am calling on the congress to produce a bill that generates at least $1.5 trillion for the new infrastructure investment we need.",Neutral,"tonight , i be call on the congress to produce a bill that generate at least $ 1.5 trillion for the new infrastructure investment we need .",10
64,"Every federal dollar should be leveraged by partnering with state and local governments and, where appropriate, tapping into private sector investment — to permanently fix the infrastructure deficit.","every federal dollar should be leveraged by partnering with state and local governments and, where appropriate, tapping into private sector investment — to permanently fix the infrastructure deficit.",Negative,"every federal dollar should be leverage by partner with state and local government and , where appropriate , tap into private sector investment — to permanently fix the infrastructure deficit .",11
65,"Any bill must also streamline the permitting and approval process — getting it down to no more than two years, and perhaps even one.","any bill mamericant also streamline the permitting and approval process — getting it down to no more than two year, and perhaps even one.",Positive,"any bill must also streamline the permitting and approval process — get it down to no more than two year , and perhaps even one .",10
66,"Together, we can reclaim our building heritage. We will build gleaming new roads, bridges, highways, railways, and waterways across our land. And we will do it with American heart, American hands, and American grit.","together, we can reclaim our building heritage. we will build gleaming new roads, bridges, highways, railways, and waterways across our land. and we will do it with american heart, american hands, and american grit.",Neutral,"together , we can reclaim our building heritage . we will build gleam new road , bridge , highway , railway , and waterways across our land . and we will do it with american heart , american hand , and american grit .",14
67,We want every American to know the dignity of a hard day's work. We want every child to be safe in their home at night. And we want every citizen to be proud of this land that we love.,we want every american to know the dignity of a hard day's work. we want every child to be safe in their home at night. and we want every citizen to be proud of this land that we love.,Positive,we want every american to know the dignity of a hard day 's work . we want every child to be safe in their home at night . and we want every citizen to be proud of this land that we love .,5
68,"We can lift our citizens from welfare to work, from dependence to independence, and from poverty to prosperity.","we can lift our citizens from welfare to work, from dependence to independence, and from poverty to prosperity.",Negative,"we can lift our citizen from welfare to work , from dependence to independence , and from poverty to prosperity .",13
69,"As tax cuts create new jobs, let us invest in workforce development and job training. Let us open great vocational schools so our future workers can learn a craft and realize their full potential. And let us support working families by supporting paid family leave.","as tax cuts create new jobs, let american invest in workforce development and job training. let american open great vocational schools so our future workers can learn a craft and realize their full potential. and let american support working families by supporting paid family leave.",Positive,"a tax cut create new job , let u invest in workforce development and job training . let u open great vocational school so our future worker can learn a craft and realize their full potential . and let u support work family by support pay family leave .",7
70,"As America regains its strength, this opportunity must be extended to all citizens. That is why this year we will embark on reforming our prisons to help former inmates who have served their time get a second chance.","as america regains its strength, this opportunity mamericant be extended to all citizens. that is why this year we will embark on reforming our prisons to help former inmates who have served their time get a second chance.",Positive,"a america regain it strength , this opportunity must be extend to all citizen . that be why this year we will embark on reform our prison to help former inmate who have serve their time get a second chance .",13
71,"Struggling communities, especially immigrant communities, will also be helped by immigration policies that focus on the best interests of American workers and American families.","struggling communities, especially immigrant communities, will also be helped by immigration policies that focamerican on the best interests of american workers and american families.",Positive,"struggle community , especially immigrant community , will also be help by immigration policy that focus on the best interest of american worker and american family .",7
72,"For decades, open borders have allowed drugs and gangs to pour into our most vulnerable communities. They have allowed millions of low-wage workers to compete for jobs and wages against the poorest Americans. Most tragically, they have caused the loss of many innocent lives.","for decades, open borders have allowed drugs and gangs to pour into our most vulnerable communities. they have allowed millions of low-wage workers to compete for jobs and wages against the poorest american. most tragically, they have caamericaned the loss of many innocent lives.",Negative,"for decade , open border have allow drug and gang to pour into our most vulnerable community . they have allow million of low-wage worker to compete for job and wage against the poor american . most tragically , they have cause the loss of many innocent life .",7
73,"Here tonight are two fathers and two mothers: Evelyn Rodriguez, Freddy Cuevas, Elizabeth Alvarado, and Robert Mickens. Their two teenage daughters — Kayla Cuevas and Nisa Mickens — were close friends on Long Island. But in September 2016, on the eve of Nisa's 16th birthday, neither of them came home. These two precious girls were brutally murdered while walking together in their hometown. Six members of the savage gang MS-13 have been charged with Kayla and Nisa's murders. Many of these gang members took advantage of glaring loopholes in our laws to enter the country as unaccompanied alien minors — and wound up in Kayla and Nisa's high school.","here tonight are two fathers and two mothers: evelyn rodriguez, freddy cuevas, elizabeth alvarado, and robert mickens. their two teenage daughters — kayla cuevas and nisa mickens — were close friends on long island. but in september 2016, on the eve of nisa's 16th birthday, neither of them came home. these two precioamerican girls were brutally murdered while walking together in their hometown. six members of the savage gang ms-13 have been charged with kayla and nisa's murders. many of these gang members took advantage of glaring loopholes in our laws to enter the country as unaccompanied alien minors — and wound up in kayla and nisa's high school.",Negative,"here tonight be two father and two mother : evelyn rodriguez , freddy cuevas , elizabeth alvarado , and robert mickens . their two teenage daughter — kayla cuevas and nisa mickens — be close friend on long island . but in september 2016 , on the eve of nisa 's 16th birthday , neither of them come home . these two precious girl be brutally murder while walk together in their hometown . six member of the savage gang ms-13 have be charge with kayla and nisa 's murder . many of these gang member take advantage of glare loophole in our law to enter the country a unaccompanied alien minor — and wind up in kayla and nisa 's high school .",13
